tool,ecosystem,feature,capability_status,evidence_quality,evidence_url,cited_version,retrieved_at,notes
PyMC,Python,posterior predictive checking,partial,official_secondary,https://www.pymc.io/projects/docs/en/stable/learn/core_notebooks/posterior_predictive.html,current docs,2026-08-20,Bayesian modelling not direct automatic fitter
Distributions.jl,Julia,MLE and weighted fit,supported,primary,https://juliastats.org/Distributions.jl/latest/fit/,docs generated 2026-06-26,2026-08-20,Lists supported distributions and suffstats
Distributions.jl,Julia,MAP and conjugate support,partial,primary,https://juliastats.org/Distributions.jl/latest/fit/,docs generated 2026-06-26,2026-08-20,Not a generic GoF selector
fitdistrplus,R,custom distributions and MLE MME QME MGE,partial,primary,https://lbbe-software.github.io/fitdistrplus/articles/fitdistrplus_vignette.html,2026-06-30,2026-08-20,Estimator scope is source-specific; do not infer MSE from this row
fitdistrplus,R,left right interval censored MLE,supported,primary,https://lbbe-software.github.io/fitdistrplus/articles/fitdistrplus_vignette.html,2026-06-30,2026-08-20,Censored fitting is MLE only
fitdistrplus,R,censored GoF statistics,not_supported,primary,https://lbbe-software.github.io/fitdistrplus/articles/FAQ.html,2026 FAQ,2026-08-20,FAQ says gofstat not proposed for censored fits
fitdistrplus,R,censored bootstrap failure accounting,supported,primary,https://lbbe-software.github.io/fitdistrplus/reference/bootdistcens.html,current docs,2026-08-20,NA fits removed and convergence count reported
MASS fitdistr,R,specified-family MLE,partial,primary,https://stat.ethz.ch/R-manual/R-devel/library/MASS/html/fitdistr.html,R-devel,2026-08-20,No general censored MLE claim
survival survreg,R,parametric survival regression,partial,primary,https://stat.ethz.ch/R-manual/R-devel/library/survival/html/survreg.html,R-devel,2026-08-20,Model-specific survival interface
flexsurv,R,parametric survival with covariates,supported,primary,https://cran.r-project.org/web/packages/flexsurv/refman/flexsurv.html,current CRAN docs,2026-08-20,flexsurvreg documented
lmomco,R,L censored trimmed moments,supported,primary,https://cran.r-project.org/web/packages/lmomco/citation.html,2025 citation,2026-08-20,Canonical CRAN citation describes scope
actuar,R,actuarial distributions,partial,official_secondary,https://cran.r-project.org/package=actuar,current CRAN,2026-08-20,Feature depth needs package-specific audit
gamlss,R,distributional regression,partial,official_secondary,https://cran.r-project.org/package=gamlss,current CRAN,2026-08-20,Not a general best-fit selector
EnvStats,R,environmental distributions,partial,official_secondary,https://cran.r-project.org/package=EnvStats,current CRAN,2026-08-20,Specialized fitting ecosystem
evd,R,extreme-value distributions,partial,official_secondary,https://cran.r-project.org/package=evd,current CRAN,2026-08-20,EVT-specific
extRemes,R,extreme-value analysis,partial,official_secondary,https://cran.r-project.org/package=extRemes,current CRAN,2026-08-20,EVT-specific
MATLAB Statistics Toolbox,MATLAB,fitdist MLE grouping right censoring frequency,supported,primary,https://www.mathworks.com/help/stats/fitdist.html,R2026a docs,2026-08-20,Function-specific restrictions documented
MATLAB Statistics Toolbox,MATLAB,custom MLE censoring truncation CI GPU,supported,primary,https://www.mathworks.com/help/stats/mle.html,R2026a docs,2026-08-20,Custom distribution and supported censoring documented
MATLAB Distribution Fitter,MATLAB,interactive fitting custom distributions plots export,supported,primary,https://www.mathworks.com/help/stats/distributionfitter-app.html,R2026a docs,2026-08-20,22 built-in app distributions stated
Wolfram Language,Wolfram,FindDistribution and EstimatedDistribution,partial,primary,https://reference.wolfram.com/language/ref/FindDistribution.html,current docs,2026-08-20,Univariate FindDistribution; further semantics not audited
SAS PROC SEVERITY,SAS,custom continuous MLE and model selection,supported,primary,https://support.sas.com/documentation/cdl/en/etsug/68148/HTML/default/etsug_severity_overview.htm,ETS 14.1 doc,2026-08-20,Candidates and criteria documented
SAS PROC SEVERITY,SAS,censoring truncation covariates threading scoring,supported,primary,https://support.sas.com/documentation/cdl/en/etsug/68148/HTML/default/etsug_severity_overview.htm,ETS 14.1 doc,2026-08-20,Explicitly documents L/R censoring and truncation
SAS PROC LIFEREG,SAS,parametric lifetime regression,partial,primary,https://documentation.sas.com/api/collections/pgmsascdc/v_051/docsets/statug/content/lifereg.pdf?locale=da,2024 guide,2026-08-20,Not a generic candidate selector
JMP Life Distribution,JMP,censoring Bayesian mixtures competing risks,supported,primary,https://www.jmp.com/support/help/en/19.0/jmp/life-distribution.shtml,19.0 2025,2026-08-20,Right and interval censoring explicit
Minitab Individual Distribution ID,Minitab,14 distributions plots and GoF,partial,primary,https://support.minitab.com/en-us/minitab/help-and-how-to/quality-and-process-improvement/quality-tools/how-to/individual-distribution-identification/before-you-start/overview/,current docs,2026-08-20,No blanket MLE claim; family-specific estimation requires separate audit
SPSS Statistics,SPSS,generic native distribution fitting,unverified,unverified,https://www.ibm.com/docs/en/spss-statistics,current docs index,2026-08-20,Do not infer absence; exact extension audit needed
Stata,Stata,parametric survival regression,partial,primary,https://www.stata.com/manuals/ststreg.pdf,current manual,2026-08-20,Generic selector not established
EasyFit,Commercial GUI,generic distribution fitting,unverified,unverified,https://www.mathwave.com/easyfit-distribution-fitting.html,current site,2026-08-20,Primary manual/version audit still required
ExpertFit,Commercial GUI,simulation input fitting,unverified,unverified,https://www.averill-law.com/,current site,2026-08-20,No current primary capability manual captured
Stat::Fit,Commercial GUI,simulation input fitting,unverified,unverified,https://www.geerms.com/,current site,2026-08-20,No current primary capability manual captured
Arena Input Analyzer,Commercial GUI,simulation input fitting,unverified,unverified,https://www.rockwellautomation.com/,current site,2026-08-20,No current primary capability manual captured
@RISK BestFit,Commercial GUI,distribution fitting,unverified,unverified,https://www.palisade.com/,current site,2026-08-20,No current primary capability manual captured
Crystal Ball,Commercial GUI,distribution fitting,unverified,unverified,https://www.oracle.com/,current site,2026-08-20,No current primary capability manual captured
Statgraphics,Commercial GUI,distribution fitting,unverified,unverified,https://www.statgraphics.com/,current site,2026-08-20,No current primary capability manual captured
XLSTAT,Commercial GUI,distribution fitting,unverified,unverified,https://www.xlstat.com/,current site,2026-08-20,No current primary capability manual captured
SAS PROC SEVERITY,SAS,scoring fitted models,supported,primary,https://support.sas.com/documentation/cdl/en/etsug/68148/HTML/default/etsug_severity_overview.htm,ETS 14.1 doc,2026-08-20,Documents scoring functions for fitted models
MATLAB Distribution Fitter,MATLAB,export fitted model to workspace,supported,primary,https://www.mathworks.com/help/stats/distributionfitter-app.html,R2026a docs,2026-08-20,Exports fitted parameters as a probability distribution object
MATLAB Statistics Toolbox,MATLAB,GPU fitting support,partial,primary,https://www.mathworks.com/help/stats/mle.html,R2026a docs,2026-08-20,Support is function and distribution specific
Generic fitting ecosystem,Cross-platform,portable out-of-core exact contract,unverified,unverified,https://juliastats.org/Distributions.jl/latest/fit/,2026-08-19 census,2026-08-20,No category-wide absence claim; cited Julia docs take arrays
Generic fitting ecosystem,Cross-platform,dialect-safe SQL export,unverified,unverified,https://support.sas.com/documentation/cdl/en/etsug/68148/HTML/default/etsug_severity_overview.htm,2026-08-19 census,2026-08-20,SAS scoring is not evidence of portable SQL export
Generic fitting ecosystem,Cross-platform,complete EN FA DE fitting documentation,unverified,unverified,https://www.ibm.com/docs/en/spss-statistics,2026-08-19 census,2026-08-20,No comparative i18n audit completed
